id	category	name
uuid:cdc78437-c87d-5e92-a9a8-00bee7ae3a1f	biolink:Gene	FBXL7
uuid:b0299f52-e15c-5828-b686-6a5555feae37	biolink:Gene	SPARCL1
uuid:a3461b26-2d33-5080-bbd3-12d4095cd90f	biolink:Gene	ZNF98
uuid:b451810c-c8be-5bef-802e-3cc2d2549b7e	biolink:Gene	ADCY2
uuid:77da612f-30ac-59b8-8e73-a24700820aee	biolink:Gene	MT-ND3
uuid:eb3fc05e-40d6-52f2-a155-d5b3a6c368c5	biolink:Gene	ENSG00000271860
uuid:4caf55ca-1aa8-57c2-ae7d-4b9d4617c54b	biolink:Gene	OPHN1
uuid:446cbae4-50ef-5df3-bd4e-75661649a194	biolink:Gene	MT-CO1
uuid:820e2506-a518-5941-ab52-dc0a79c6e889	biolink:Gene	TRPS1
uuid:aed87990-b040-52bc-9a7c-034bee7d6e03	biolink:Gene	SIK3
uuid:7bac0244-ccb6-5ef6-99c5-c9a75b052aab	biolink:Gene	PARD3
uuid:e496f189-64c5-523a-a25c-c34c9812ba03	biolink:Gene	BAZ2B
uuid:f4759dfc-fde8-59b4-aee6-0b23a67abb70	biolink:Gene	PRKG1
uuid:27097b6b-b7d5-56ef-9778-420ad1fe63e4	biolink:Gene	RFX4
uuid:e33de5ee-a871-56b8-8062-e89219fec90a	biolink:Gene	NALF1
uuid:3b70c3d2-2706-5a1a-8c92-e69ab6736363	biolink:Gene	GLIS3
uuid:156fc441-e348-55d8-b6ba-ab40db368f99	biolink:Gene	XIST
uuid:92ec2cec-98d7-56ba-a755-73700a9520f8	biolink:Gene	NAV2
uuid:978310f5-409b-5f02-9e93-b0a9f4aadbea	biolink:Gene	PRRC2C
uuid:9a18b46d-74da-5fb1-9272-b596ad1684aa	biolink:Gene	PTPRG
uuid:4e1801eb-f834-5ee4-b146-ac410a6333c9	biolink:Gene	ATP10A
uuid:eed4cf83-cd85-539c-8232-83d711e591d2	biolink:Gene	FLT1
uuid:8a41f2f3-0550-54a3-b344-4ef5499e00b5	biolink:Gene	ARL15
uuid:27a99ef8-5b25-5c9a-bcdc-2a77c6eb2af2	biolink:Gene	ST6GALNAC3
uuid:050fe079-86fb-5776-893f-aa0a58922229	biolink:Gene	MECOM
uuid:56ace166-12c6-5c01-919c-ac784f216d32	biolink:Gene	THSD4
uuid:93475057-4d2d-5fda-91f5-3bb4f2c4fbd2	biolink:Gene	SLC39A10
uuid:8b200038-f4a6-59be-8aa8-6f0e094ba191	biolink:Gene	PDE4D
uuid:c557019a-ab86-5ecc-a5a5-038b5e658779	biolink:Gene	HERC2P3
uuid:86f6b326-e969-535a-90f5-92aadabd334d	biolink:Gene	ABCB1
uuid:4d73031f-5f39-5c42-b797-01b353444225	biolink:Gene	PTPRM
uuid:02859a80-c1f5-57d9-9800-a80becdd79ae	biolink:Gene	ELOVL7
uuid:52b99de0-70bd-5a4b-813c-6ea48f3ecef7	biolink:Gene	NXN
uuid:fd64deb3-fa2e-53de-8fe5-88cf538f7b92	biolink:Gene	STOX2
uuid:02b185d5-a59f-5dc6-b5f5-10516e00cd1c	biolink:Gene	VWF
uuid:91245be0-3533-51c4-a823-b6cc5d815dc0	biolink:Gene	COBLL1
uuid:989ceae3-b939-54bd-aa78-74d24cb3526a	biolink:Gene	BMPR2
uuid:c5c77997-b70f-529f-a419-cfbb9da5d90b	biolink:Gene	LRMDA
uuid:67562f32-2122-5bac-b664-25542fc92144	biolink:Gene	UTRN
uuid:21240e1e-8220-53fa-8b83-dbd27a30c75e	biolink:Gene	LDB2
uuid:abf2478a-b49f-59f8-9afc-ec94d4d35e47	biolink:Gene	PLPP1
uuid:1290d265-cf14-5be0-b4a3-cb63f40d53a5	biolink:Gene	AFF3
uuid:99c3412e-8a0a-5d0e-a585-4cc99d11d206	biolink:Gene	LHFPL6
uuid:e939ac79-873d-5c96-b9ff-91b64d9965bc	biolink:Gene	RBMS3
uuid:641bbeab-b320-5984-b773-92944b712360	biolink:Gene	MYRIP
uuid:f1680802-ee9a-5034-b101-bbd6e7d04452	biolink:Gene	FLI1
uuid:e3f1fec4-fb33-5ee5-8b12-448509db9ec8	biolink:Gene	TACC1
uuid:960bbf3d-f802-549a-84a6-540019c440a8	biolink:Gene	TIMP3
uuid:7bf99b1f-5f8d-58ae-b60c-636c9ef7f56c	biolink:Gene	ST6GAL1
