id	category	name	description	provided_by
uuid:85741fa6-2c97-5ded-afbd-767396df4993	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Watershed Area: Anterior Cerebral Artery - Middle Cerebral Artery border zone	Ependymal Epithelial Cell in Watershed Area: Anterior Cerebral Artery - Middle Cerebral Artery border zone	KIBR; Stanford University
uuid:5ebb5982-2e83-555e-8f38-cd1b082f2103	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Watershed Area: Middle Cerebral Artery - Posterior Cerebral Artery border zone	Ependymal Epithelial Cell in Watershed Area: Middle Cerebral Artery - Posterior Cerebral Artery border zone	KIBR; Stanford University
uuid:55bac990-ebeb-53d1-aba0-15762c1d6ded	biolink:AnatomicalEntity	Ependymal Epithelial Cell in White Matter Watershed Area supplied by the Anterior Cerebral Artery	Ependymal Epithelial Cell in White Matter Watershed Area supplied by the Anterior Cerebral Artery	KIBR; Stanford University
uuid:7d4fc253-d11d-57c2-9910-9e97bc7d2071	biolink:AnatomicalEntity	Fibroblast in Amygdala	Fibroblast in Amygdala	KIBR; Stanford University
uuid:c12ddb1d-c59b-5968-b102-4b306c03d96f	biolink:AnatomicalEntity	Fibroblast in Anterior Cerebral Artery	Fibroblast in Anterior Cerebral Artery	KIBR; Stanford University
uuid:e59c604b-75ee-53d0-875b-76ce04b8e5b7	biolink:AnatomicalEntity	Fibroblast in Anterior Cingulate Cortex	Fibroblast in Anterior Cingulate Cortex	KIBR; Stanford University
uuid:882e7e6e-c193-5e1e-a616-33333a821519	biolink:AnatomicalEntity	Fibroblast in Basilar Artery / Circle of Willis	Fibroblast in Basilar Artery / Circle of Willis	KIBR; Stanford University
uuid:05a15fec-b75c-5798-9689-905d45b38cdc	biolink:AnatomicalEntity	Fibroblast in Caudate and Putamen	Fibroblast in Caudate and Putamen	KIBR; Stanford University
uuid:6b5b2c27-6d88-5a91-befb-e4985a42acde	biolink:AnatomicalEntity	Fibroblast in Cerebellum	Fibroblast in Cerebellum	KIBR; Stanford University
uuid:8aa67ac8-bf43-5598-81d7-e3444d3765c6	biolink:AnatomicalEntity	Fibroblast in Cingulum Bundle	Fibroblast in Cingulum Bundle	KIBR; Stanford University
uuid:75cf7cfe-1b2e-5d40-8670-e6e278774837	biolink:AnatomicalEntity	Fibroblast in Corpus Callosum	Fibroblast in Corpus Callosum	KIBR; Stanford University
uuid:8474c046-e3eb-5fde-9f0c-8ce9b717a8c6	biolink:AnatomicalEntity	Fibroblast in Cuneus	Fibroblast in Cuneus	KIBR; Stanford University
uuid:7da24ed0-b607-512f-b40d-e259a86608e1	biolink:AnatomicalEntity	Fibroblast in Dorsolateral Prefrontal Cortex	Fibroblast in Dorsolateral Prefrontal Cortex	KIBR; Stanford University
uuid:1ec7954f-8e4a-5833-809f-a25ca36c5526	biolink:AnatomicalEntity	Fibroblast in Entorhinal Cortex	Fibroblast in Entorhinal Cortex	KIBR; Stanford University
uuid:4b21e1ae-0154-5e64-9d88-597ff3e78f53	biolink:AnatomicalEntity	Fibroblast in Fornix	Fibroblast in Fornix	KIBR; Stanford University
uuid:f8399f60-b4cd-5af8-8485-336b03d59278	biolink:AnatomicalEntity	Fibroblast in Fusiform Gyrus	Fibroblast in Fusiform Gyrus	KIBR; Stanford University
uuid:d5397eb8-784e-5404-a8e3-6de0b799b244	biolink:AnatomicalEntity	Fibroblast in Hippocampus and Entorhinal Cortex	Fibroblast in Hippocampus and Entorhinal Cortex	KIBR; Stanford University
uuid:382e6dd5-a5af-55d1-802a-b9fc98bea82c	biolink:AnatomicalEntity	Fibroblast in Inferior Frontal Gyrus	Fibroblast in Inferior Frontal Gyrus	KIBR; Stanford University
uuid:83865be4-9370-5510-8427-4958841a14e7	biolink:AnatomicalEntity	Fibroblast in Inferior Parietal Lobule / Supramarginal Gyrus	Fibroblast in Inferior Parietal Lobule / Supramarginal Gyrus	KIBR; Stanford University
uuid:06469ba6-a7f7-549a-a1c1-47bab141601b	biolink:AnatomicalEntity	Fibroblast in Inferior Temporal Gyrus	Fibroblast in Inferior Temporal Gyrus	KIBR; Stanford University
uuid:a9c76dc3-bc4a-5aa9-be64-2485cbb23dd2	biolink:AnatomicalEntity	Fibroblast in Insular Cortex	Fibroblast in Insular Cortex	KIBR; Stanford University
